name,latitude,longitude,type,volcano_number
Waesche,-77.17,-126.88,Shield | Shield(s),390024
Waikama,-18.02,179.3,Composite | Complex,245801
Vysokii,51.116,156.892,Composite | Stratovolcano,300800
Washiba-Kumonotaira,36.408,137.594,Shield | Shield(s),283071
Wallis Islands,-13.275,-176.206,Shield | Shield(s),244050
Washibetsu,42.433,141.007,Composite | Stratovolcano,285808
Washington,44.332,-121.837,Shield | Shield,322807
Usami,34.968,139.063,Composite | Stratovolcano,283819
Wayang-Windu,-7.213,107.637,Minor | Lava dome,263080
Vulsini,42.6,11.93,Caldera | Caldera,211003
Wenman,1.37,-91.8,Shield | Shield,353801
Weizhoudao,21.05,109.13,Shield | Shield,275800
Waw an Namous,24.906,17.772,Caldera | Caldera,225008
West Maui,20.88,-156.6,Shield | Shield,332803
Whaleback,41.528,-122.14,Shield | Shield,323802
West Molokai,21.15,-157.17,Shield | Shield,332806
White Island,-78.17,167.5,Shield | Shield(s),390815
Wilis,-7.808,111.758,Composite | Stratovolcano,263270
William,-18.7,169.08,Composite | Stratovolcano,257805
Williamson Mountain,43.924,-121.825,Shield | Shield(s),322812
Willow Peak,39.662,-107.17,Minor | Pyroclastic cone,328801
Wilson,45.066,-121.658,Shield | Shield(s),322803
Wuksi Butte-Twin Lakes,43.77,-121.77,Cluster | Volcanic field,322816
Y'Ami-North,21.0868,121.942,Composite | Compound,274080
Yabakei,33.169,131.221,Caldera | Caldera,282813
Yakeishi,39.161,140.832,Composite | Stratovolcano,283882
Yanaurcu de Pinan,0.484,-78.329,Composite | Stratovolcano,352800
Yali,36.6666,27.1224,Composite | Lava dome(s),212051
Ureparapara,-13.53,167.32,Composite | Stratovolcano,257800
Yanpat,56.53,158.8,Shield | Shield(s),300882
Yatsugatake,35.968,138.373,Composite | Stratovolcano(es),283824
"Yeguada, La",8.47,-80.82,Composite | Stratovolcano,346801
Yelia,-7.05,145.858,Composite | Stratovolcano,253002
"Yayantique, Cerro",13.435,-87.999,Composite | Stratovolcano(es),343805
Yichuan,34.0,113.0,Cluster | Volcanic field,305833
Yitong Group,43.33,125.25,Minor | Lava dome(s),305853
Yokosuka,-34.709,178.545,Composite | Stratovolcano,241141
Yokote,35.201,133.267,Minor | Pyroclastic cone(s),283807
Yellowstone,44.43,-110.67,Caldera | Caldera(s),325010
Urbich Caldera,44.6252,147.2005,Caldera | Caldera(s),290800
"Zapaleri, Cerro",-22.82,-67.18,Composite | Stratovolcano,355843
Zarechny,56.38,160.83,Caldera | Caldera(s),300859
"Zacatillo, Isla",13.295,-87.761,Minor | Pyroclastic cone(s),343807
Zenikame,41.706,140.814,Caldera | Caldera,285802
Zheltiy,51.93,157.6,Composite | Stratovolcano,300810
Zaozerny,56.88,159.95,Shield | Shield(s),300480
Zhupanovskiye Vostriyaky,53.8,159.28,Composite | Stratovolcano,300840
Yura Volcanic Field,-16.213,-71.725,Cluster | Volcanic field,354008
Zikwala,8.53,38.85,Composite | Stratovolcano,221816
Zardolou Group,33.25,67.92,Minor | Lava dome(s),232809
Yugawara,35.173,139.029,Composite | Stratovolcano,283821
Yuga-mine,35.802,137.284,Minor | Lava dome,283828
Yokotsu,41.935,140.775,Composite | Stratovolcano,285804
Vance Segment,45.3,-130.1,Cluster | Fissure vent,331025
Valles Caldera,35.908,-106.517,Caldera | Caldera,327817
